S5/Q SIX-PARAMETER rational certificate.
Root: a_l | a_h | b_l | b_h | lambda_l | lambda_h | theta_l | theta_h | z_l | z_h
  | alpha_l | alpha_h
147/1000 | 267701/180000 | 2017/10400 | 198301/40000 | 7/30 | 2/5 | 0 | 1 | 0 |
  1/5 | 0 | 1
Splits: parent | axis(0=a,1=b,2=lambda,3=theta,4=z,5=alpha) | midpoint
R00011010010101 | 2 | 61/240
R000110100101010 | 3 | 7/8
R0001101001010100 | 4 | 1/8
R00011010010101000 | 5 | 3/8
R000110100101010001 | 0 | 325913/576000
R0001101001010100010 | 1 | 695753/640000
R00011010010101001 | 5 | 3/8
R000110100101010011 | 0 | 325913/576000
R0001101001010100110 | 1 | 695753/640000
R00011010010101001101 | 2 | 39/160
R000110100101010011011 | 3 | 13/16
R0001101001010101 | 4 | 1/8
R00011010010101010 | 5 | 3/8
R000110100101010101 | 0 | 325913/576000
R0001101001010101010 | 1 | 695753/640000
R00011010010101010101 | 2 | 39/160
R00011010010101011 | 5 | 3/8
R000110100101010111 | 0 | 325913/576000
R0001101001010101110 | 1 | 695753/640000
R00011010010101011100 | 2 | 39/160
R000110100101010111000 | 3 | 15/16
R00011010010101011101 | 2 | 39/160
R000110100101010111011 | 3 | 15/16
R0001101001010101110110 | 4 | 11/80
R00011010010101011101101 | 5 | 7/16
R0001101001010101110111 | 4 | 11/80
R00011010010101011101111 | 5 | 7/16
R000110100101011 | 3 | 7/8
R0001101001010110 | 4 | 1/8
R00011010010101101 | 5 | 3/8
R000110100101011011 | 0 | 325913/576000
R0001101001010111 | 4 | 1/8
R00011010010101111 | 5 | 3/8
R000110100101011111 | 0 | 325913/576000
R00011010011 | 5 | 1/4
R000110100110 | 0 | 311801/480000
R0001101001100 | 1 | 3283863/4160000
R00011010011001 | 2 | 61/240
R000110100110010 | 3 | 7/8
R0001101001100100 | 4 | 7/40
R0001101001100101 | 4 | 7/40
R000110100111 | 0 | 311801/480000
R0001101001110 | 1 | 3283863/4160000
R00011010011101 | 2 | 61/240
R000110100111010 | 3 | 7/8
R0001101001110100 | 4 | 7/40
R00011010011101000 | 5 | 3/8
R000110100111010001 | 0 | 325913/576000
R0001101001110100010 | 1 | 695753/640000
R00011010011101000100 | 2 | 39/160
R000110100111010001000 | 3 | 13/16
R0001101001110100010001 | 4 | 13/80
R00011010011101000101 | 2 | 39/160
R000110100111010001011 | 3 | 13/16
R0001101001110100010111 | 4 | 13/80
R00011010011101000101110 | 5 | 7/16
R00011010011101000101111 | 5 | 7/16
R00011010011101001 | 5 | 3/8
R000110100111010011 | 0 | 325913/576000
R0001101001110100110 | 1 | 695753/640000
R00011010011101001100 | 2 | 39/160
R00011010011101001101 | 2 | 39/160
R0001101001110101 | 4 | 7/40
R00011010011101010 | 5 | 3/8
R000110100111010101 | 0 | 325913/576000
R0001101001110101010 | 1 | 695753/640000
R00011010011101010100 | 2 | 39/160
R000110100111010101000 | 3 | 15/16
R0001101001110101010000 | 4 | 13/80
R0001101001110101010001 | 4 | 13/80
R00011010011101010100010 | 5 | 7/16
R00011010011101010101 | 2 | 39/160
R000110100111010101011 | 3 | 15/16
R0001101001110101010110 | 4 | 13/80
R00011010011101010101100 | 5 | 7/16
R00011010011101010101101 | 5 | 7/16
R000110100111010101011011 | 0 | 335321/640000
R0001101001110101010111 | 4 | 13/80
R00011010011101010101110 | 5 | 7/16
R00011010011101010101111 | 5 | 7/16
R000110100111010101011111 | 0 | 335321/640000
R00011010011101011 | 5 | 3/8
R000110100111010111 | 0 | 325913/576000
R0001101001110101110 | 1 | 695753/640000
R00011010011101011100 | 2 | 39/160
R00011010011101011101 | 2 | 39/160
R000110100111011 | 3 | 7/8
R0001101001110110 | 4 | 7/40
R00011010011101100 | 5 | 3/8
R000110100111011001 | 0 | 325913/576000
R0001101001110110010 | 1 | 695753/640000
R00011010011101100101 | 2 | 127/480
R000110100111011001010 | 3 | 13/16
R0001101001110110010101 | 4 | 13/80
R00011010011101101 | 5 | 3/8
R000110100111011011 | 0 | 325913/576000
R0001101001110110110 | 1 | 695753/640000
R0001101001110111 | 4 | 7/40
R00011010011101110 | 5 | 3/8
R000110100111011101 | 0 | 325913/576000
R0001101001110111010 | 1 | 695753/640000
R00011010011101110101 | 2 | 127/480
R000110100111011101010 | 3 | 15/16
R0001101001110111010100 | 4 | 13/80
R00011010011101110101001 | 5 | 7/16
R0001101001110111010101 | 4 | 13/80
R00011010011101110101011 | 5 | 7/16
R00011010011101111 | 5 | 3/8
R000110100111011111 | 0 | 325913/576000
R000110101 | 3 | 3/4
R0001101010 | 4 | 3/20
R00011010101 | 5 | 1/4
R000110101011 | 0 | 311801/480000
R0001101010110 | 1 | 3283863/4160000
R0001101011 | 4 | 3/20
R00011010111 | 5 | 1/4
R000110101111 | 0 | 311801/480000
R00011011 | 2 | 11/40
R000110110 | 3 | 3/4
R0001101100 | 4 | 3/20
R00011011000 | 5 | 1/4
R000110110000 | 0 | 311801/480000
R000110110001 | 0 | 311801/480000
R0001101100010 | 1 | 8237989/4160000
R00011011000100 | 2 | 61/240
R00011011001 | 5 | 1/4
R000110110010 | 0 | 311801/480000
R0001101100100 | 1 | 8237989/4160000
R00011011001000 | 2 | 61/240
R000110110011 | 0 | 311801/480000
R0001101100110 | 1 | 8237989/4160000
R00011011001100 | 2 | 61/240
R0001101101 | 4 | 3/20
R00011011010 | 5 | 1/4
R000110110100 | 0 | 311801/480000
R0001101101000 | 1 | 8237989/4160000
R00011011010000 | 2 | 61/240
R000110110101 | 0 | 311801/480000
R0001101101010 | 1 | 8237989/4160000
R00011011010100 | 2 | 61/240
R000110110101001 | 3 | 7/8
R0001101101010010 | 4 | 1/8
R00011011010100100 | 5 | 3/8
R00011011010100101 | 5 | 3/8
R000110110101001011 | 0 | 325913/576000
