S5/Q SIX-PARAMETER rational certificate.
Root: a_l | a_h | b_l | b_h | lambda_l | lambda_h | theta_l | theta_h | z_l | z_h
  | alpha_l | alpha_h
147/1000 | 267701/180000 | 2017/10400 | 198301/40000 | 7/30 | 2/5 | 0 | 1 | 0 |
  1/5 | 0 | 1
Splits: parent | axis(0=a,1=b,2=lambda,3=theta,4=z,5=alpha) | midpoint
27/25 | 124987939/112193150 | D0:Nlo | 61584076
124987939/112193150 | 29/25 | JD0 | 65322294
Cell sum 981895701.
Leaf R00011010011101110101000: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 8174676861/10747213970 | J0 | 88774846
8174676861/10747213970 | 15198183/17053910 | 0:Nlo | 248443837
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 59108285047591/62457788850300 | 0:Nhi | 119343769
59108285047591/62457788850300 | 2171169/2270810 | J0 | 29261147
2171169/2270810 | 1358/1375 | J1 | 93437268
1358/1375 | 11345394332073984/11058524040373975 | JD1 | 100974276
11345394332073984/11058524040373975 | 35726817/34466830 | D0:Nhi | 24568111
35726817/34466830 | 26/25 | D0:Nlo | 7542283
26/25 | 197576379/188493710 | D0:Nlo | 17963752
197576379/188493710 | 22638530979312966838865064789/21336707567911861330891951100
  | D0:Nhi | 28978847
22638530979312966838865064789/21336707567911861330891951100 |
  359528637802938892714881/336212486854573048810075 | JD1 | 18960260
359528637802938892714881/336212486854573048810075 |
  25292427641604530208837/23607534236567157600775 | JD1 | 4568196
25292427641604530208837/23607534236567157600775 | 27/25 | D0:Nlo | 18707627
27/25 | 14862378/13393825 | D0:Nlo | 52891157
14862378/13393825 | 29/25 | JD0 | 64500944
Cell sum 996162196.
Leaf R000110100111011101010010: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 8174676861/10747213970 | J0 | 88774846
8174676861/10747213970 | 15198183/17053910 | 0:Nlo | 248443837
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 59108285047591/62457788850300 | 0:Nhi | 119343769
59108285047591/62457788850300 | 2171169/2270810 | J0 | 29261147
2171169/2270810 | 1196/1225 | J1 | 60926177
1196/1225 | 1826583495460503/1807527449059900 | JD1 | 94183182
1826583495460503/1807527449059900 | 26/25 | D0:Nhi | 65356450
26/25 | 27656049061764530208837/25828852834967157600775 | D0:Nhi | 63787731
27656049061764530208837/25828852834967157600775 |
  272701587410609832297207/253479199872638733608525 | D0:Nhi | 10014457
272701587410609832297207/253479199872638733608525 | 27/25 | D0:Nlo | 7051707
27/25 | 29/25 | D0:Nlo | 112041701
Cell sum 976430880.
Leaf R000110100111011101010011: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 2171169/2611130 | J0 | 207164150
2171169/2611130 | 549333982197/639499681690 | J0 | 58016024
549333982197/639499681690 | 15198183/17053910 | 0:Nlo | 69918262
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 252578111/275046300 | 0:Nhi | 43058612
252578111/275046300 | 2171169/2270810 | J0 | 99946829
2171169/2270810 | 1196/1225 | J0 | 56548924
1196/1225 | 3808831/3854190 | JD0 | 33497189
3808831/3854190 | 450825466/452081025 | JD0 | 24690256
450825466/452081025 | 1826583495460503/1807527449059900 | JD1 | 35313675
1826583495460503/1807527449059900 | 29651817/28841830 | D0:Nhi | 41459267
29651817/28841830 | 26/25 | D0:Nlo | 26277549
26/25 | 1381653/1298470 | D0:Nlo | 53382270
1381653/1298470 | 22448597115192966838865064789/20981397050311861330891951100 |
  D0:Nhi | 13068048
22448597115192966838865064789/20981397050311861330891951100 |
  27656049061764530208837/25828852834967157600775 | JD1 | 1838317
27656049061764530208837/25828852834967157600775 |
  25292427641604530208837/23607534236567157600775 | D0:Nhi | 1404995
25292427641604530208837/23607534236567157600775 |
  3749621083541384272439492812723508168892433467/349483032925318833339125667613634
  1341567068025 | D0:Nlo | 3415778
3749621083541384272439492812723508168892433467/34948303292531883333912566761363413
  41567068025 | 172789770193311711461859/160917660868770103205425 | JD1 | 1962266
172789770193311711461859/160917660868770103205425 |
  471439299712726073967903/437888184472375994414725 | D0:Nlo | 6314394
471439299712726073967903/437888184472375994414725 |
  112829354334100062353421/104498857663425983660575 | JD0 | 6408822
112829354334100062353421/104498857663425983660575 | 27/25 | JD0 | 546733
27/25 | 29/25 | JD0 | 125235919
Cell sum 986714155.
Leaf R00011010011101110101010: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 8174676861/10747213970 | J0 | 88774846
8174676861/10747213970 | 15198183/17053910 | 0:Nlo | 248443837
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 501173111439/532688880610 | 0:Nhi | 103237769
501173111439/532688880610 | 2171169/2270810 | J0 | 45590078
2171169/2270810 | 85797494275659968467323/83939218043290949394025 | J1 | 185229272
85797494275659968467323/83939218043290949394025 | 35726817/34466830 | D0:Nhi |
  34137096
35726817/34466830 | 26/25 | D0:Nlo | 7542283
26/25 | 197576379/188493710 | D0:Nlo | 17963752
197576379/188493710 | 2171169/2030810 | D0:Nhi | 48345413
2171169/2030810 | 359528637802938892714881/336212486854573048810075 | 1:A | 559774
359528637802938892714881/336212486854573048810075 |
  25292427641604530208837/23607534236567157600775 | D0:Nhi | 4690471
25292427641604530208837/23607534236567157600775 | 27/25 | D0:Nlo | 18707626
27/25 | 14862378/13393825 | D0:Nlo | 52891157
14862378/13393825 | 29/25 | JD0 | 64500944
Cell sum 997860194.
Leaf R000110100111011101010110: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 8174676861/10747213970 | J0 | 88774846
8174676861/10747213970 | 15198183/17053910 | 0:Nlo | 248443837
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 501173111439/532688880610 | 0:Nhi | 103237769
501173111439/532688880610 | 2171169/2270810 | J0 | 45590078
2171169/2270810 | 23882859/23778910 | J1 | 138698904
23882859/23778910 | 26/25 | D0:Nhi | 81625867
26/25 | 27656049061764530208837/25828852834967157600775 | D0:Nhi | 63787731
27656049061764530208837/25828852834967157600775 |
  272701587410609832297207/253479199872638733608525 | D0:Nhi | 10014456
272701587410609832297207/253479199872638733608525 | 27/25 | D0:Nlo | 7051709
27/25 | 29/25 | D0:Nlo | 112041700
Cell sum 976512773.
Leaf R000110100111011101010111: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 2171169/2611130 | J0 | 207164150
2171169/2611130 | 549333982197/639499681690 | J0 | 58016024
549333982197/639499681690 | 15198183/17053910 | 0:Nlo | 69918262
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 64403638/70386575 | 0:Nhi | 34897417
64403638/70386575 | 2171169/2270810 | J0 | 108319188
2171169/2270810 | 1196/1225 | J0 | 56548924
1196/1225 | 3808831/3854190 | JD0 | 33497189
3808831/3854190 | 1826583495460503/1807527449059900 | JD0 | 60227313
1826583495460503/1807527449059900 | 29651817/28841830 | D0:Nhi | 41459267
29651817/28841830 | 26/25 | D0:Nlo | 26277549
26/25 | 1381653/1298470 | D0:Nlo | 53382269
1381653/1298470 | 27656049061764530208837/25828852834967157600775 | D0:Nhi |
  14913714
27656049061764530208837/25828852834967157600775 |
  25292427641604530208837/23607534236567157600775 | D0:Nhi | 1404995
25292427641604530208837/23607534236567157600775 |
  12585510102096211062885798224549547649811992797/11685265782727221947670324741887
  444268344437775 | D0:Nlo | 12602261
12585510102096211062885798224549547649811992797/1168526578272722194767032474188744
  4268344437775 | 112829354334100062353421/104498857663425983660575 | JD0 |
  5497844
112829354334100062353421/104498857663425983660575 | 27/25 | JD0 | 546733
27/25 | 29/25 | JD0 | 125235918
Cell sum 987154893.
Leaf R000110100111011101011: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 8174676861/10747213970 | J0 | 88774846
8174676861/10747213970 | 15198183/17053910 | 0:Nlo | 248443837
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 59108285047591/62457788850300 | 0:Nhi | 119343769
59108285047591/62457788850300 | 2171169/2270810 | J0 | 29261147
2171169/2270810 | 22690788664147968/22117048082576075 | J1 | 195917546
22690788664147968/22117048082576075 | 40601817/39154330 | D0:Nhi | 25825832
40601817/39154330 | 26/25 | D0:Nlo | 6639791
26/25 | 197576379/188493710 | D0:Nlo | 17963754
197576379/188493710 | 6055069725087588039755349/5673592441747766703477175 | D0:Nhi
  | 43781891
6055069725087588039755349/5673592441747766703477175 |
  2957878617882067406022111/2766375826499751301872325 | D0:Nhi | 4583884
2957878617882067406022111/2766375826499751301872325 | 27/25 | D0:Nlo | 23007230
27/25 | 29327709/26787650 | D0:Nlo | 26385950
29327709/26787650 | 29/25 | JD0 | 84661760
Cell sum 991837113.
Leaf R0001101001110111011: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/445430 | B1 | 79380327
310167/445430 | 7945942797/10196338130 | J0 | 94878779
7945942797/10196338130 | 15198183/17026070 | 0:Nlo | 232168221
15198183/17026070 | 9/10 | 0:Nhi | 15949935
9/10 | 213258261601931/227652191898840 | 0:Nhi | 91626297
213258261601931/227652191898840 | 2171169/2299130 | J0 | 21232411
2171169/2299130 | 57819374509058851689/60375046685156485780 | J0 | 37778230
57819374509058851689/60375046685156485780 | 1350659385327616/1327022884844877 | J1
  | 158628263
1350659385327616/1327022884844877 | 2171169/2107130 | 1:A | 29763045
2171169/2107130 | 26/25 | D0:Nhi | 21183277
26/25 |
  374835582671425169838735501765792537363985311/3532416874398115020521807157090671
  64225912325 | D0:Nhi | 46192742
374835582671425169838735501765792537363985311/353241687439811502052180715709067164
  225912325 | 359528637802938892714881/336212486854573048810075 | 1:A | 19332396
359528637802938892714881/336212486854573048810075 |
  24701522286564530208837/22950972730967157600775 | D0:Nhi | 13973366
24701522286564530208837/22950972730967157600775 | 27/25 | D0:Nlo | 6275130
27/25 | 29/25 | D0:Nlo | 114289296
Cell sum 982651715.
Leaf R000110100111011110: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/445430 | B1 | 79380327
310167/445430 | 15198183/17026070 | 0:Nlo | 327105250
15198183/17026070 | 9/10 | 0:Nhi | 15949936
9/10 | 2171169/2270810 | 0:Nhi | 149058114
2171169/2270810 | 1466331/1479190 | J1 | 103756342
1466331/1479190 | 26/25 | D0:Nhi | 108719613
26/25 | 359528637802938892714881/335337686854573048810075 | D0:Nhi | 61004549
359528637802938892714881/335337686854573048810075 | 27/25 | D0:Nhi | 13135452
27/25 | 29/25 | D0:Nhi | 95292117
Cell sum 953401700.
Leaf R0001101001110111110: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/465590 | B1 | 58229576
310167/465590 | 8174676861/10747213970 | J0 | 88774846
8174676861/10747213970 | 15198183/17053910 | 0:Nlo | 248443837
15198183/17053910 | 9/10 | 0:Nhi | 19016300
9/10 | 59108285047591/62457788850300 | 0:Nhi | 119343769
59108285047591/62457788850300 | 2171169/2270810 | J0 | 29261147
2171169/2270810 | 43738547/45416200 | J0 | 21207465
43738547/45416200 | 98283481087874488857/98893072552758683930 | J1 | 89448943
98283481087874488857/98893072552758683930 | 28451817/27904330 | D0:Nhi | 63053265
28451817/27904330 | 26/25 | D0:Nlo | 44933596
26/25 | 359528637802938892714881/335337686854573048810075 | D0:Nlo | 71663465
359528637802938892714881/335337686854573048810075 | 27/25 | D0:Nlo | 17006503
Cell sum 870382712.
Leaf R0001101001110111111: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/445430 | B1 | 79380327
310167/445430 | 7945942797/10196338130 | J0 | 94878779
7945942797/10196338130 | 15198183/17026070 | 0:Nlo | 232168221
15198183/17026070 | 9/10 | 0:Nhi | 15949935
9/10 | 213258261601931/227652191898840 | 0:Nhi | 91626297
213258261601931/227652191898840 | 2171169/2299130 | J0 | 21232411
2171169/2299130 | 44013251/45982600 | J0 | 36357549
44013251/45982600 | 228376986202069/228121028501160 | J1 | 118806106
228376986202069/228121028501160 | 26/25 | D0:Nhi | 82891967
26/25 | 359528637802938892714881/335337686854573048810075 | D0:Nhi | 61513378
359528637802938892714881/335337686854573048810075 |
  24701522286564530208837/22950972730967157600775 | D0:Nhi | 7708422
24701522286564530208837/22950972730967157600775 | 27/25 | D0:Nlo | 6275130
27/25 | 29/25 | D0:Nlo | 125175136
Cell sum 973963658.
Leaf R0001101001111: left | right | polynomial | upper numerator with
  denominator10^9
0 | 348723/475670 | B1 | 113821372
348723/475670 | 2441061/2729690 | 0:Nlo | 305891513
2441061/2729690 | 9/10 | 0:Nhi | 12502960
9/10 | 723723/772670 | 0:Nhi | 91165311
723723/772670 | 26940483/28056025 | J1 | 61724078
26940483/28056025 | 254552598781377/253476183103700 | J1 | 105077082
254552598781377/253476183103700 | 1581952058523648/1573296151326775 | 1:Q |
  2821561
1581952058523648/1573296151326775 | 790976029261824/786648075593075 | J1 | 2
790976029261824/786648075593075 | 19559517/18818975 | 1:A | 73066718
19559517/18818975 | 26/25 | D0:Nhi | 1331395
26/25 | 771170847870470752045341/722302036869534633111140 | D0:Nhi | 60835311
771170847870470752045341/722302036869534633111140 |
  403463106765870606/376069473902498825 | JD0 | 12196978
403463106765870606/376069473902498825 |
  18040087334305154682693585305575614439078059/16803966137191981320938340765715792
  415017300 | JD0 | 1676934
18040087334305154682693585305575614439078059/1680396613719198132093834076571579241
  5017300 | 27/25 | D0:Nhi | 12237809
27/25 | 29/25 | D0:Nhi | 126953025
Cell sum 981302049.
Leaf R00011010100: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/420230 | B1 | 119332780
310167/420230 | 15198183/16991270 | 0:Nlo | 302154694
15198183/16991270 | 9/10 | 0:Nhi | 12060098
9/10 | 44192709/45416200 | 0:Nhi | 205000529
44192709/45416200 | 99/100 | J1 | 53122869
99/100 | 11566244803062392649661/11637503704112125759425 | B11/25 | 11374685
11566244803062392649661/11637503704112125759425 | 503540303/494090285 | J1 |
  71120558
503540303/494090285 | 22690788664147968/22117048082576075 | 1:Q | 17686683
22690788664147968/22117048082576075 | 26/25 | JD1 | 33139249
26/25 | 1088861077247651071/1028806553007084325 | JD1 | 42534472
1088861077247651071/1028806553007084325 |
  3969294128608349012355883558488817/3735603570436542454467338017119275 | JD1 |
  10167583
3969294128608349012355883558488817/3735603570436542454467338017119275 |
  96833712090427029/90775169528173175 | D0:Nhi | 10087210
96833712090427029/90775169528173175 | 27/25 | D0:Nlo | 27822903
27/25 | 8988831/7779190 | D0:Nlo | 79655396
8988831/7779190 | 29/25 | P | 2162319
Cell sum 997422028.
Leaf R000110101010: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/420230 | B1 | 119332780
310167/420230 | 15198183/16991270 | 0:Nlo | 302154694
15198183/16991270 | 9/10 | 0:Nhi | 12060098
9/10 | 44192709/45416200 | 0:Nhi | 205000529
44192709/45416200 | 99/100 | J1 | 53122869
99/100 | 11566244803062392649661/11637503704112125759425 | B11/25 | 11374685
11566244803062392649661/11637503704112125759425 | 251/250 | J1 | 29417642
251/250 | 712046218/688127325 | JD1 | 77005730
712046218/688127325 | 26/25 | D0:Nhi | 11170720
26/25 | 1088861077247651071/1022556553007084325 | D0:Nhi | 53609994
1088861077247651071/1022556553007084325 | 27/25 | D0:Nhi | 24879403
27/25 | 29/25 | D0:Nhi | 67567008
Cell sum 966696152.
Leaf R00011010101100: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/445430 | B1 | 79380327
310167/445430 | 64403638/82096575 | 0:Nlo | 103140582
64403638/82096575 | 15198183/17026070 | J1 | 217720368
15198183/17026070 | 9/10 | 0:Nhi | 15949935
9/10 | 3882777979/3885794500 | J1 | 227182633
3882777979/3885794500 | 3541454913249013/3513531844862370 | 1:Q | 20535057
3541454913249013/3513531844862370 | 26/25 | JD1 | 70913998
26/25 | 6322785266109501868298809/6039376474572830175449100 | JD1 | 14784525
6322785266109501868298809/6039376474572830175449100 | 197576379/188493710 | D0:Nlo
  | 2748291
197576379/188493710 | 1088861077247651071/1022556553007084325 | D0:Nhi | 38025796
1088861077247651071/1022556553007084325 | 96833712090427029/90775169528173175 |
  D0:Nhi | 4351750
96833712090427029/90775169528173175 | 27/25 | D0:Nlo | 27822903
Cell sum 822556165.
Leaf R00011010101101: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/445430 | B1 | 79380327
310167/445430 | 15198183/17026070 | 0:Nlo | 327105250
15198183/17026070 | 9/10 | 0:Nhi | 15949936
9/10 | 44192709/45416200 | 0:Nhi | 205000529
44192709/45416200 | 99/100 | J1 | 53122869
99/100 | 11566244803062392649661/11637503704112125759425 | B11/25 | 11374685
11566244803062392649661/11637503704112125759425 | 251/250 | J1 | 29417642
251/250 | 26/25 | JD1 | 88226023
26/25 | 1088861077247651071/1022556553007084325 | JD1 | 52299358
1088861077247651071/1022556553007084325 | 27/25 | JD1 | 29920363
Cell sum 891796982.
Leaf R0001101010111: left | right | polynomial | upper numerator with
  denominator10^9
0 | 310167/420230 | B1 | 119332780
310167/420230 | 15198183/16991270 | 0:Nlo | 302154695
15198183/16991270 | 9/10 | 0:Nhi | 12060098
9/10 | 38956586050544239077/41114088424201920580 | 0:Nhi | 122321112
38956586050544239077/41114088424201920580 | 951613471/950173625 | J1 | 146137687
951613471/950173625 | 22296142800748544/22117048082576075 | 1:Q | 15368584
22296142800748544/22117048082576075 | 11148071400374272/11058524040373975 | JD1 |
  2
11148071400374272/11058524040373975 | 1144996853/1134791650 | 1:A | 2032501
1144996853/1134791650 | 26/25 | JD1 | 61554802
26/25 | 1088861077247651071/1022556553007084325 | JD1 | 45977885
1088861077247651071/1022556553007084325 |
  761774263699307595369990779371948120237939/7136307335581930059351065837604282363
  31425 | JD1 | 5188235
761774263699307595369990779371948120237939/713630733558193005935106583760428236331
